TUCASEID,TEAGE_EC,TEELDUR,TEELWHO,TEELYRS,TRELHH,TUECLNO,TULINENO,TXAGE_EC,TXELDUR,TXELWHO,TXELYRS
20180101180165,59,2,33,-1,0,4,-1,0,0,0,-1
20180101180165,64,4,34,2,0,5,-1,0,0,0,0
20180101180532,80,4,33,3,0,5,-1,60,0,0,0
20180101180532,85,4,34,3,0,6,-1,60,0,0,0
20180101180542,80,4,34,2,0,5,-1,60,0,0,0
20180101180542,75,2,40,-1,0,6,-1,0,0,0,-1
20180101180555,55,4,20,6,1,2,2,0,0,0,0
20180101180710,85,4,47,5,0,4,-1,60,0,0,0
20180101180817,85,4,44,12,0,7,-1,60,0,0,0
20180101180892,76,4,33,5,0,3,-1,0,0,0,0
20180101180892,85,4,39,5,0,4,-1,60,0,0,0
20180101180892,85,4,40,5,0,5,-1,60,0,0,0
20180101180956,75,1,39,-1,0,4,-1,0,0,0,-1
20180101181029,85,2,38,-1,0,2,-1,60,0,0,-1
20180101181055,62,4,33,10,0,2,-1,0,0,0,0
20180101181055,62,4,34,10,0,3,-1,0,0,0,0
20180101181055,85,4,47,10,0,4,-1,60,0,0,0
20180101181055,85,4,48,10,0,5,-1,60,0,0,0
20180101181130,77,4,49,10,0,3,-1,0,0,0,0
20180101181184,77,1,33,-1,0,2,-1,0,0,0,-1
20180101181198,66,3,43,-1,0,2,-1,0,0,0,-1
20180101181223,54,4,20,4,1,2,2,0,0,0,0
20180101181314,69,2,47,-1,0,5,-1,0,0,0,-1
20180101181314,70,2,48,-1,0,6,-1,0,0,0,-1
20180101181314,73,3,44,-1,0,7,-1,0,0,0,-1
20180101181414,64,1,41,-1,0,6,-1,0,0,0,-1
20180101181449,80,4,33,2,0,7,-1,60,0,0,0
20180101181474,56,4,33,5,0,2,-1,0,0,0,0
20180101181493,85,2,44,-1,0,2,-1,60,0,0,-1
20180101181493,85,3,56,-1,0,3,-1,60,0,0,-1
20180101181513,85,4,34,10,0,2,-1,60,0,0,0
20180101181551,64,4,24,8,1,2,2,0,0,0,0
20180101181564,80,1,48,-1,0,5,-1,0,0,0,-1
20180101181648,85,1,20,-1,1,2,2,0,0,0,-1
20180101181678,85,4,24,5,1,2,2,60,0,0,0
20180101181683,55,4,43,5,0,2,-1,0,0,0,0
20180101181710,85,4,24,5,1,2,2,0,0,0,0
20180101181738,58,2,20,-1,1,2,2,0,0,0,-1
20180101181768,69,4,33,7,0,5,-1,0,0,0,0
20180101181768,78,4,41,3,0,6,-1,0,0,0,0
20180101181935,80,3,47,-1,0,3,-1,60,0,0,-1
20180101182009,85,4,39,5,0,2,-1,60,0,0,0
20180101182010,85,4,24,6,1,2,2,0,0,0,0
20180101182015,74,2,43,-1,0,2,-1,0,0,0,-1
20180101182102,85,4,47,5,0,8,-1,60,0,0,0
20180101182177,85,4,33,10,0,3,-1,61,0,0,0
20180101182192,85,1,44,-1,0,3,-1,60,0,0,-1
20180101182192,85,1,44,-1,0,4,-1,60,0,0,-1
20180101182255,47,4,56,2,0,7,-1,0,0,0,0
20180101182255,65,4,42,3,0,8,-1,0,0,0,0
20180101182255,51,4,24,10,1,2,2,0,0,0,0
20180101182255,61,4,24,20,1,3,3,0,0,0,0
20180101182262,85,4,33,2,0,3,-1,60,0,0,0
20180101182355,80,1,47,-1,0,4,-1,60,0,0,-1
20180101182416,80,4,33,7,0,4,-1,60,0,0,0
20180101182449,85,4,56,2,0,3,-1,60,0,0,0
20180101182480,75,1,49,-1,0,3,-1,0,0,0,-1
20180110172107,80,4,39,2,0,3,-1,60,0,0,0
20180111170016,60,4,20,2,1,2,2,0,0,0,0
20180111170512,76,4,56,2,0,3,-1,0,0,0,0
20180111170620,80,4,44,13,0,3,-1,60,0,0,0
20180111170625,71,3,56,-1,0,2,-1,42,0,0,-1
20180111170625,67,4,41,20,0,3,-1,0,0,0,0
20180111170887,76,4,33,2,0,2,-1,0,0,0,0
20180111170887,78,4,34,2,0,3,-1,0,0,0,0
20180111170961,85,1,34,-1,0,3,-1,60,0,0,-1
20180111171209,85,4,43,2,0,3,-1,60,0,0,0
20180111171277,67,4,39,10,0,5,-1,0,0,0,0
20180111171296,85,4,24,8,1,2,2,0,0,0,0
20180111171296,80,4,24,8,1,3,3,0,0,0,0
20180111171300,70,4,56,10,0,3,-1,0,0,0,0
20180111171300,71,4,33,15,0,4,-1,0,0,0,0
20180111171326,85,4,33,15,0,2,-1,60,0,0,0
20180111171397,80,3,47,-1,0,3,-1,0,0,0,-1
20180111171407,80,4,48,8,0,4,-1,60,0,0,0
20180111171419,53,4,20,10,1,2,2,0,0,0,0
20180111171436,75,4,33,5,0,5,-1,0,0,0,0
20180111171504,80,4,33,5,0,5,-1,0,0,0,0
20180111171504,85,4,40,5,0,6,-1,60,0,0,0
20180111171611,76,1,42,-1,0,4,-1,0,0,0,-1
20180111171699,70,4,44,3,0,3,-1,0,0,0,0
20180111171699,80,3,43,-1,0,4,-1,60,0,0,-1
20180111171740,85,3,39,-1,0,3,-1,60,0,0,-1
20180111171752,80,4,33,2,0,5,-1,60,0,0,0
20180111171795,65,3,30,-1,1,2,2,0,0,0,-1
20180111171834,74,4,20,2,1,2,2,0,0,0,0
20180111171866,85,1,56,-1,0,6,-1,60,0,0,-1
20180111171866,85,1,56,-1,0,7,-1,60,0,0,-1
20180111171866,85,1,56,-1,0,8,-1,60,0,0,-1
20180111171866,60,1,56,-1,0,9,-1,0,0,0,-1
